open,high,low,close,date,volume
0.02936698,0.052908,0.02381257,0.04008049,2024-11-21,4087106.6249760278
0.03977254,0.062398,0.03962128,0.045104,2024-11-25,1813399.5323800398
0.04501346,0.21047,0.04214331,0.20289,2024-11-29,25204773.53501819
0.201435,0.237883,0.156211,0.218533,2024-12-03,28254048.62853979
0.222426,0.30209,0.188734,0.218593,2024-12-07,30355399.124468945
0.218332,0.231606,0.14767,0.18709,2024-12-11,21302353.063074302
0.18791,0.289163,0.174795,0.245451,2024-12-15,30606109.70112963
0.246934,0.308787,0.223272,0.230816,2024-12-19,47735578.33227943
0.230797,0.372923,0.216178,0.274095,2024-12-23,42380985.182894394
0.273631,0.37556,0.263599,0.351767,2024-12-27,49245601.42698899
0.352534,0.551629,0.313056,0.535316,2024-12-31,93303731.72078599
0.533026,0.657647,0.477339,0.521654,2025-01-04,109610154.23982562
0.519973,0.600757,0.472169,0.475551,2025-01-08,83089252.01645742
0.470638,0.593029,0.383163,0.498195,2025-01-12,186270931.4294308
0.497665,0.918852,0.36975,0.882806,2025-01-16,729517475.3281446
0.881588,0.942578,0.630732,0.678175,2025-01-20,565961111.3396286
0.66755,0.878992,0.591915,0.70304,2025-01-24,355572206.18587524
0.703527,0.727618,0.474198,0.531743,2025-01-28,275341849.8582883
0.531259,0.549449,0.424044,0.439093,2025-02-01,144949189.43760177
0.439182,0.447556,0.25226,0.315287,2025-02-05,175828709.77409902
0.31524,0.333,0.231748,0.256127,2025-02-09,62530846.088504694
0.255661,0.312285,0.218754,0.256422,2025-02-13,154191751.3204518
0.256666,0.272191,0.209655,0.217859,2025-02-17,61555522.903112054
0.217931,0.226883,0.167638,0.193762,2025-02-21,84198193.77192605
0.19351,0.234325,0.173554,0.173554,2025-02-25,130864296.33967626
0.174129,0.224225,0.161633,0.206929,2025-03-01,110071932.81137282
0.20691,0.232221,0.156203,0.167381,2025-03-05,100167675.38948096
0.166742,0.170823,0.117616,0.118526,2025-03-09,49276464.18007834
0.118379,0.12391,0.095151,0.108124,2025-03-13,45408430.82447712
0.107869,0.13311,0.105211,0.114215,2025-03-17,87827886.93388829
0.114159,0.122042,0.093888,0.104657,2025-03-21,54833934.92462197
0.10541,0.137703,0.099014,0.116925,2025-03-25,148855496.419004
0.117887,0.143874,0.112674,0.116532,2025-03-29,54988960.92715966
0.116027,0.117062,0.102635,0.104635,2025-04-02,52301804.89436902
0.104363,0.104363,0.075205,0.081452,2025-04-06,18175129.440772884
0.081345,0.081345,0.066236,0.079601,2025-04-10,42243119.08477996
0.079657,0.093268,0.07299,0.083382,2025-04-14,41960362.31603497
0.083322,0.086991,0.072948,0.075408,2025-04-18,24074291.055872068
0.075617,0.088142,0.075017,0.082954,2025-04-22,24622304.12327635
0.082952,0.14005,0.081635,0.123805,2025-04-26,116585690.2286248
0.124082,0.167578,0.124082,0.153163,2025-04-30,96595124.5556952
0.153115,0.21341,0.145482,0.175129,2025-05-04,62078686.38862888
0.1743,0.189866,0.15414,0.170758,2025-05-08,74376890.92766325
0.170774,0.229488,0.167364,0.210252,2025-05-12,106855671.94002752
0.210291,0.243136,0.179044,0.18346,2025-05-16,72393143.4485058
0.183516,0.19219,0.162617,0.188105,2025-05-20,78240143.6747237
0.187871,0.217785,0.177221,0.177221,2025-05-24,109669133.1381144
0.176361,0.251957,0.164703,0.234407,2025-05-28,235894838.49990222
0.234681,0.242464,0.172921,0.190062,2025-06-01,112330622.14598636
0.190178,0.199239,0.17385,0.17481,2025-06-05,54695912.39166284
0.174794,0.188109,0.163022,0.176697,2025-06-09,46609058.722593956
0.176716,0.201376,0.171739,0.171739,2025-06-13,90464215.3449902
0.170991,0.185482,0.157384,0.168857,2025-06-17,73909006.26971084
0.168306,0.171994,0.132304,0.133848,2025-06-21,61955323.87958387
0.134431,0.147964,0.110093,0.140481,2025-06-25,88280608.51293848
0.14117,0.142973,0.124389,0.134966,2025-06-29,35418730.94303256
0.135539,0.142339,0.121148,0.134353,2025-07-03,56480348.805760644
0.134321,0.138783,0.124147,0.132964,2025-07-07,36223947.29146548
0.133032,0.159488,0.122102,0.154422,2025-07-11,108686665.84362993
0.154385,0.171586,0.140269,0.152559,2025-07-15,135983422.96752498
0.152699,0.184647,0.144651,0.166921,2025-07-19,92725020.4180071
0.167234,0.183546,0.160816,0.17378,2025-07-23,94600215.53554347
0.174119,0.174119,0.13495,0.146628,2025-07-27,32178796.08093141
0.146683,0.153606,0.126529,0.131903,2025-07-31,35624940.28938134
0.131935,0.134914,0.111784,0.120731,2025-08-04,24337885.43123279
0.120654,0.132618,0.110646,0.128515,2025-08-08,58114334.80665103
0.128629,0.142187,0.123501,0.124678,2025-08-12,49364376.595591895
0.124626,0.137517,0.112783,0.115157,2025-08-16,28558254.20505503
0.115357,0.124478,0.106304,0.107047,2025-08-20,36282027.11654967
0.107211,0.123227,0.102855,0.120361,2025-08-24,31489052.78521547
0.120517,0.122164,0.100282,0.105021,2025-08-28,21217081.922031354
0.105081,0.113903,0.10201,0.102324,2025-09-01,11676607.50984136
0.102007,0.107325,0.092963,0.100335,2025-09-05,21172843.366826177
0.100328,0.117266,0.100328,0.117266,2025-09-09,43431469.024341345
