open,high,low,close,date,volume
0.370674,0.387952,0.358139,0.382013,2024-09-10,
0.381582,0.405854,0.359756,0.398917,2024-09-14,22711305.192951508
0.398674,0.412708,0.354563,0.398741,2024-09-18,26744406.315768473
0.398506,0.454136,0.389025,0.435487,2024-09-22,24081587.67002808
0.435428,0.553874,0.412724,0.509733,2024-09-26,30980528.80800788
0.509205,0.549613,0.480156,0.513364,2024-09-30,42486803.63952495
0.513773,0.514397,0.366525,0.378909,2024-10-04,40157371.324673176
0.379715,0.436832,0.377466,0.409799,2024-10-08,42368980.22484501
0.409185,0.423455,0.368315,0.417338,2024-10-12,30264391.570976805
0.418035,0.475825,0.408566,0.463638,2024-10-16,53789722.41605583
0.464925,0.480028,0.414503,0.432411,2024-10-20,25825568.06245073
0.432841,0.467854,0.395433,0.411464,2024-10-24,32965143.9406323
0.41104,0.424669,0.354572,0.379835,2024-10-28,25627350.599871002
0.379713,0.409079,0.354897,0.36657,2024-11-01,30078566.153893568
0.367579,0.376922,0.308098,0.312369,2024-11-05,26648876.98865133
0.313338,0.398775,0.313338,0.386291,2024-11-09,39589492.10876317
0.386102,0.535153,0.380716,0.487178,2024-11-13,89540734.87167808
0.485293,0.50397,0.433958,0.499404,2024-11-17,48802298.2784553
0.49989,0.49989,0.426782,0.438129,2024-11-21,34732213.873041265
0.437972,0.631606,0.420124,0.629029,2024-11-25,104321563.56224072
0.628673,0.754676,0.51283,0.689237,2024-11-29,138871163.73616526
0.689343,0.807993,0.668977,0.739149,2024-12-03,79401875.08724786
0.738519,0.84636,0.702954,0.818991,2024-12-07,97062691.06532085
0.814483,0.828748,0.563282,0.618643,2024-12-11,76125946.49214324
0.619058,0.754039,0.599635,0.668152,2024-12-15,43857598.19817704
0.666847,0.712881,0.562075,0.562519,2024-12-19,45385727.56804434
0.564044,0.568281,0.43076,0.490293,2024-12-23,32887376.872401346
0.490487,0.634607,0.478768,0.565754,2024-12-27,36362575.83922765
0.568452,0.667374,0.560655,0.57995,2024-12-31,34907582.015078455
0.579496,0.80694,0.551585,0.769241,2025-01-04,92713945.2161876
0.76795,0.821828,0.732147,0.821828,2025-01-08,132984814.63328509
0.803855,0.836688,0.62475,0.69624,2025-01-12,48133222.69089895
0.696233,0.712166,0.566096,0.706008,2025-01-16,43348464.31154289
0.705515,0.707718,0.55129,0.556809,2025-01-20,48565275.753189795
0.557949,0.624752,0.530938,0.574739,2025-01-24,46218295.356579535
0.57625,0.593884,0.458555,0.508521,2025-01-28,61118452.896103576
0.509728,0.515419,0.420823,0.437363,2025-02-01,24981874.203684486
0.435903,0.446332,0.249549,0.305439,2025-02-05,36845571.25793051
0.304536,0.316897,0.256807,0.287242,2025-02-09,12628686.56469161
0.286571,0.309741,0.257929,0.283055,2025-02-13,47692417.108240515
0.282621,0.307272,0.270146,0.274582,2025-02-17,12602476.827924008
0.274786,0.283902,0.243018,0.278842,2025-02-21,16067509.156579636
0.279707,0.297387,0.225771,0.227104,2025-02-25,17188819.439384043
0.228448,0.24934,0.213022,0.241512,2025-03-01,17705235.216482393
0.240953,0.261837,0.190963,0.205315,2025-03-05,16273383.844297558
0.204957,0.215051,0.195192,0.199869,2025-03-09,8499457.1996345
0.19978,0.200264,0.161064,0.184112,2025-03-13,12992318.263834048
