open,high,low,close,date,volume
14.54,15.1,14.5,15.01,2024-09-10,
15.01,15.86,14.62,15.81,2024-09-14,164.37667048815598
15.81,16.08,14.73,15.09,2024-09-18,9578.545761481284
15.08,19.81,14.8,19.23,2024-09-22,336749.9486477108
19.24,19.92,18.66,18.71,2024-09-26,10482.282399629363
18.71,19.56,18.62,18.9,2024-09-30,1915.1950907705018
18.89,18.9,16.78,17.07,2024-10-04,3024.178651564738
17.09,19.69,16.99,19.15,2024-10-08,24948.438432241834
19.16,20.94,18.95,19.37,2024-10-12,14696.042882892687
19.37,22.45,19.37,22.32,2024-10-16,61189.82223002674
22.39,23.29,21.97,23.05,2024-10-20,13962.348664616313
23.03,23.96,22.76,23.71,2024-10-24,37409.82466126207
23.74,24.47,22.93,23.48,2024-10-28,7742.754730733473
23.48,23.81,22.52,22.67,2024-11-01,30164.41113069227
22.68,22.96,21.29,21.63,2024-11-05,24829.657931958023
21.57,23.15,21.53,22.73,2024-11-09,23152.891737783186
22.85,24.88,22.8,23.83,2024-11-13,187037.72876828295
23.77,24.21,22.21,22.33,2024-11-17,80054.12958998563
22.34,22.97,21.16,22.13,2024-11-21,55606.761754919724
22.14,22.95,21.46,22.5,2024-11-25,139411.8069618745
22.51,23.43,21.18,23.14,2024-11-29,106899.18741093254
23.14,24.61,23.09,23.8,2024-12-03,142715.8880481797
23.77,27.54,23.27,26.85,2024-12-07,133243.66891297983
26.87,27.55,24.5,25.18,2024-12-11,311376.7875436248
25.17,26.3,24.92,25.52,2024-12-15,34959.73281782376
25.51,26.95,25.2,25.97,2024-12-19,138924.67415401514
25.87,27.21,24.34,26.26,2024-12-23,134412.96954919808
26.29,27.29,24.58,25.0,2024-12-27,177317.95515443865
24.98,26.24,24.85,25.74,2024-12-31,59371.88194099921
25.74,26.41,25.6,26.19,2025-01-04,22583.17924407056
26.26,27.25,26.09,26.4,2025-01-08,54883.54613291937
26.39,26.61,25.62,26.03,2025-01-12,8480.56702831928
26.04,27.06,24.95,26.96,2025-01-16,88336.05798588095
26.98,33.45,26.71,28.81,2025-01-20,543889.6760503217
28.74,30.66,27.9,30.46,2025-01-24,19797.007098304424
30.43,30.49,28.34,28.95,2025-01-28,82084.08015029522
28.96,29.22,27.7,27.85,2025-02-01,59787.45456577243
27.85,28.04,23.21,23.57,2025-02-05,106968.49719094286
23.54,25.03,22.97,24.84,2025-02-09,152037.82468983653
24.71,34.15,24.66,34.01,2025-02-13,151478.73173068042
34.01,37.25,33.63,36.98,2025-02-17,82460.0007651715
36.8,39.09,35.77,38.92,2025-02-21,22403.07805700565
38.88,49.44,38.49,46.29,2025-02-25,209581.32574404447
46.4,47.04,42.05,43.25,2025-03-01,132040.53202107686
43.22,45.06,38.81,41.1,2025-03-05,193362.81200354212
41.0,44.44,40.85,41.51,2025-03-09,72147.16863036646
41.5,41.51,37.82,41.07,2025-03-13,78543.43082887164
41.03,48.26,40.93,45.93,2025-03-17,77968.42764225685
45.83,62.63,45.37,60.32,2025-03-21,128620.8477798782
60.41,60.82,57.5,58.75,2025-03-25,33804.76739885005
58.93,63.75,58.13,59.5,2025-03-29,185295.7376560356
59.53,63.14,53.36,60.46,2025-04-02,384871.49183247343
60.44,60.46,51.86,52.85,2025-04-06,9872.04543789603
52.76,52.8,49.02,50.91,2025-04-10,164662.74286152664
51.01,51.49,49.74,49.97,2025-04-14,36918.236875329865
50.07,52.72,49.57,52.36,2025-04-18,122417.95984546117
52.37,53.05,51.68,52.47,2025-04-22,138540.32630190477
52.46,52.71,46.01,46.64,2025-04-26,381088.0511347732
46.77,48.18,46.47,48.1,2025-04-30,792992.934862991
48.04,48.11,47.13,47.64,2025-05-04,419358.5359373222
47.52,47.74,46.51,47.01,2025-05-08,525664.759703981
46.88,49.72,46.71,47.41,2025-05-12,216600.90914766787
47.65,49.56,46.71,47.63,2025-05-16,336816.5678208544
47.63,48.21,47.31,48.01,2025-05-20,36818251.463396624
48.01,59.6,47.72,54.36,2025-05-24,365528418.30017304
54.36,64.75,54.35,64.65,2025-05-28,353483438.02518433
65.38,66.53,60.18,63.48,2025-06-01,570335166.485312
63.47,63.82,63.15,63.48,2025-06-05,1671228538.76785
63.48,64.75,62.53,63.51,2025-06-09,3666132687.629505
63.51,63.88,63.24,63.58,2025-06-13,6455648631.748369
63.61,64.01,24.36,28.95,2025-06-17,276201355.78045493
29.17,35.25,29.16,34.95,2025-06-21,427915193.05590785
34.74,44.72,34.74,42.15,2025-06-25,154297759.4962471
42.12,48.07,40.94,48.02,2025-06-29,73254696.0947615
48.02,48.22,47.86,47.99,2025-07-03,201625006.72889575
48.02,48.18,47.87,47.97,2025-07-07,582302085.0053942
48.01,48.2,47.81,48.06,2025-07-11,1400112952.708728
47.98,48.34,47.68,47.95,2025-07-15,1082517332.2263927
48.04,48.42,47.43,47.93,2025-07-19,1239325061.2497127
48.03,48.55,47.7,47.99,2025-07-23,1565913754.2228978
48.01,48.3,47.18,48.02,2025-07-27,1106442782.3474767
48.01,48.54,47.67,48.0,2025-07-31,49287809.30512667
48.01,48.27,47.72,48.0,2025-08-04,47771454.55161378
48.01,48.14,47.85,48.01,2025-08-08,46790572.801711194
48.01,48.22,47.6,47.99,2025-08-12,50195425.48303591
48.0,48.4,47.36,48.05,2025-08-16,56887874.86860736
48.04,48.3,47.71,47.99,2025-08-20,56606111.33493424
48.0,48.43,47.69,47.98,2025-08-24,643194420.8273003
47.98,48.35,47.73,48.0,2025-08-28,660568065.874099
48.0,48.8,47.79,48.0,2025-09-01,611312341.6261805
47.97,48.11,47.91,48.0,2025-09-05,644735481.6772627
48.01,48.08,47.91,48.0,2025-09-09,47061093.645401366
