open,high,low,close,date,volume
0.04313463,0.074817,0.01739946,0.02406419,2025-01-28,24697686.2326964
0.0239103,0.03087608,0.00281931,0.0035988,2025-02-01,7837746.906288369
0.00359561,0.00542752,0.00149508,0.00299749,2025-02-05,13103637.524661558
0.0029924,0.00370702,0.00072145,0.00086212,2025-02-09,400260.71840904036
0.00086036,0.0011787,0.00067992,0.00070541,2025-02-13,180003.002082075
0.00070816,0.0009525,0.00060826,0.00065638,2025-02-17,156107.84267158722
0.00065144,0.00066846,0.00031983,0.00033282,2025-02-21,131817.40504287436
0.00033219,0.00050815,0.00023497,0.0002372,2025-02-25,111877.47063134992
0.00023826,0.00052988,0.00020375,0.00027884,2025-03-01,148496.1298814205
0.00027865,0.00030601,0.0002103,0.00022545,2025-03-05,110074.73551826568
0.0002268,0.00035298,0.00022174,0.00025732,2025-03-09,115352.82944399011
0.00025728,0.00027202,0.00019218,0.00019694,2025-03-13,109604.89412273471
0.00019691,0.00040892,0.0001838,0.00024952,2025-03-17,126752.89161461555
0.00024867,0.00061416,0.00023894,0.00033905,2025-03-21,63237.32724957285
0.00034,0.00173205,0.00027893,0.0010362,2025-03-25,984056.41162652
0.00102893,0.00214095,0.00051309,0.00059986,2025-03-29,90886.58088353167
0.00059658,0.00070803,0.00047849,0.00053429,2025-04-02,31283.623227823726
0.00053351,0.0013943,0.00041867,0.00043533,2025-04-06,9244.165369086199
0.00043698,0.0025765,0.00029596,0.00036756,2025-04-10,23959.371876541634
0.00036828,0.00145429,0.00031881,0.00123761,2025-04-14,9433.966742393904
0.00122472,0.00180757,0.00035854,0.00089812,2025-04-18,10418.642775319002
0.0008991,0.00135031,0.00034842,0.00112517,2025-04-22,2039.4843621840344
0.00092255,0.00345214,0.00036786,0.00136889,2025-04-26,820973.1520954246
0.00155003,0.00927898,0.00076125,0.00687608,2025-04-30,10475779.13063185
0.00699765,0.02065306,0.00391374,0.00633307,2025-05-04,3186605.1685167723
0.00611745,0.00638414,0.00263168,0.00320688,2025-05-08,612090.7984663
0.00310067,0.02003636,0.00250008,0.01245615,2025-05-12,5505415.528464252
0.01255321,0.356908,0.01255321,0.223914,2025-05-16,180547765.44811946
0.219632,0.281439,0.163203,0.222176,2025-05-20,73772387.83335346
0.221564,0.278941,0.154262,0.167489,2025-05-24,84076471.79792365
0.166438,0.231125,0.157814,0.174585,2025-05-28,60946894.79612645
0.171947,0.184837,0.109374,0.118454,2025-06-01,29405664.136355266
0.118496,0.17205,0.108662,0.157931,2025-06-05,56092991.81502283
0.157521,0.210273,0.126305,0.181211,2025-06-09,43669419.694246486
0.173161,0.251583,0.167203,0.186863,2025-06-13,70156416.6678689
0.186235,0.188049,0.141728,0.141728,2025-06-17,38889681.73259503
0.136344,0.138608,0.094519,0.094748,2025-06-21,39771694.483868346
0.094793,0.125175,0.077608,0.113531,2025-06-25,45816379.50020879
0.113896,0.126772,0.085478,0.115895,2025-06-29,38623517.87610129
0.11589,0.155031,0.109879,0.140297,2025-07-03,51868010.50818234
0.139362,0.152265,0.094345,0.103991,2025-07-07,29014761.34041844
0.104392,0.158587,0.102207,0.153416,2025-07-11,59876068.04844781
0.152804,0.185198,0.140219,0.14885,2025-07-15,60437093.268123426
0.148236,0.159452,0.097936,0.102909,2025-07-19,56888358.10078182
0.103029,0.118172,0.087191,0.090037,2025-07-23,49467567.11192976
0.089124,0.090208,0.064643,0.073379,2025-07-27,29198948.68908095
0.073329,0.099731,0.072384,0.088643,2025-07-31,37690529.81305877
0.089119,0.093092,0.063389,0.08208,2025-08-04,22081674.86274063
0.082132,0.088403,0.072339,0.084355,2025-08-08,22965280.998254534
0.083682,0.087634,0.064798,0.067524,2025-08-12,29969617.85300044
0.067899,0.077715,0.053941,0.055418,2025-08-16,23951133.080478273
0.055486,0.058202,0.04278753,0.04350675,2025-08-20,19875292.198341902
0.0434578,0.0475809,0.04034299,0.04467624,2025-08-24,8707172.196296975
0.04468445,0.057676,0.04268836,0.050811,2025-08-28,12362295.143374696
0.050799,0.07811,0.04990952,0.070804,2025-09-01,16196074.429638041
0.070601,0.079468,0.054031,0.071484,2025-09-05,84266590.27718617
0.071377,0.113234,0.068232,0.098656,2025-09-09,137485469.56265226
