open,high,low,close,date,volume
1541.06,1660.28,1528.55,1610.06,2024-09-10,
1608.87,1638.15,1528.48,1635.42,2024-09-14,55794946.28001029
1635.07,1649.19,1484.34,1499.32,2024-09-18,62216608.93493602
1497.53,1587.64,1434.74,1584.37,2024-09-22,69696152.76258633
1585.07,1653.35,1536.77,1551.72,2024-09-26,78664180.02629058
1550.19,1716.14,1529.03,1665.97,2024-09-30,77478337.22389318
1657.15,1657.15,1405.96,1432.36,2024-10-04,89407294.5160115
1432.91,1484.9,1388.68,1399.8,2024-10-08,139582030.68567017
1399.14,1430.77,1323.47,1367.73,2024-10-12,55511257.85849196
1366.42,1439.19,1298.03,1322.57,2024-10-16,167900271.21734256
1325.32,1329.15,1191.62,1215.89,2024-10-20,52173272.85423807
1215.28,1240.1,1138.88,1160.87,2024-10-24,110237834.91815372
1159.15,1174.53,1031.8,1102.15,2024-10-28,39644563.58022452
1102.51,1326.19,1092.37,1266.11,2024-11-01,178734832.71453068
1267.77,1317.33,1136.35,1147.99,2024-11-05,113694655.49792822
1147.54,1640.3,1106.55,1479.48,2024-11-09,173515657.96554065
1481.82,1554.63,1431.34,1524.04,2024-11-13,356590967.98596877
1517.54,1584.44,1410.59,1503.5,2024-11-17,161080379.44385746
1503.17,1567.44,1458.44,1498.81,2024-11-21,207338936.26058504
1495.43,1789.59,1473.74,1743.52,2024-11-25,276170557.1902858
1739.63,1985.26,1686.1,1822.69,2024-11-29,162883785.90088964
1821.74,1979.14,1780.72,1976.61,2024-12-03,340882419.9264704
1978.66,2404.57,1975.72,2216.44,2024-12-07,249219507.85483345
2211.9,2236.83,1718.66,1764.57,2024-12-11,294769164.1823653
1766.73,2142.95,1712.61,1928.05,2024-12-15,162242067.60236922
1928.43,2067.02,1669.03,1671.49,2024-12-19,229800441.96459314
1669.37,1752.24,1500.13,1581.3,2024-12-23,112714610.31475812
1579.83,1674.21,1511.73,1529.0,2024-12-27,127673557.86861765
1529.63,1602.15,1469.78,1498.19,2024-12-31,116113433.96676749
1497.23,1611.07,1472.27,1596.74,2025-01-04,143838175.33518228
1599.32,1633.77,1493.49,1493.49,2025-01-08,128965798.42432871
1491.53,1521.11,1421.24,1439.65,2025-01-12,150712595.2931539
1439.77,1446.44,1290.6,1429.12,2025-01-16,136550450.75873145
1431.92,1475.86,1263.13,1278.4,2025-01-20,155936958.9669782
1276.36,1391.41,1218.45,1272.41,2025-01-24,131230030.89381826
1275.93,1330.84,1130.75,1202.93,2025-01-28,111466570.96443252
1204.95,1211.3,1074.09,1149.19,2025-02-01,96241483.12007436
1149.8,1156.71,854.78,917.75,2025-02-05,104509168.66582558
914.95,955.45,883.23,936.21,2025-02-09,103956166.36669184
934.38,1033.11,877.63,1015.95,2025-02-13,115394369.6557291
1015.72,1023.12,981.26,988.95,2025-02-17,124358792.55867334
990.0,1469.94,981.18,1428.04,2025-02-21,270605943.9104583
1426.74,1629.14,1367.78,1416.59,2025-02-25,227446798.09156615
1420.62,1782.04,1346.71,1582.29,2025-03-01,426477277.638596
1581.52,1708.57,1343.19,1368.48,2025-03-05,213610996.98082098
1363.7,1449.4,1219.77,1358.14,2025-03-09,117650006.51659995
1360.62,1382.08,1043.67,1131.91,2025-03-13,112408163.2975514
1128.73,1232.97,1094.77,1178.35,2025-03-17,160442539.85934207
1178.65,1329.6,1178.65,1265.16,2025-03-21,74047752.93269685
1266.64,1280.93,1199.19,1274.17,2025-03-25,58722955.72910635
1273.34,1482.87,1257.96,1443.43,2025-03-29,150591560.90934905
1447.33,1471.49,1257.15,1384.84,2025-04-02,84227881.23704176
1386.02,1415.33,1229.69,1349.7,2025-04-06,46947109.3687632
1350.7,1413.24,1052.14,1396.05,2025-04-10,237227365.51327613
1395.77,1417.74,1256.7,1352.78,2025-04-14,74358267.45717105
1354.16,1430.99,1320.12,1347.46,2025-04-18,77696961.97501113
1347.37,1409.58,1337.85,1345.9,2025-04-22,59829306.609330505
1347.25,1526.9,1329.52,1489.53,2025-04-26,92634226.1513983
1488.97,1564.24,1457.52,1526.19,2025-04-30,73942319.15283264
1529.5,1570.99,1451.22,1507.92,2025-05-04,46456822.3282657
1504.67,1559.32,1425.73,1514.22,2025-05-08,57594787.638477765
1514.65,1893.39,1513.04,1822.88,2025-05-12,81713782.17023057
1822.45,1952.33,1723.75,1803.05,2025-05-16,77654088.26595706
1807.73,1898.2,1638.49,1730.7,2025-05-20,67589343.70229055
1730.97,1809.49,1628.7,1630.83,2025-05-24,84516631.4831556
1632.58,1707.96,1601.88,1680.13,2025-05-28,43468870.296939395
1681.0,1765.71,1524.08,1573.03,2025-06-01,36122692.79958868
1571.7,1944.24,1551.14,1782.22,2025-06-05,156252210.6801101
1781.39,1827.07,1679.19,1757.57,2025-06-09,51899979.81427774
1758.64,2181.23,1735.67,1997.57,2025-06-13,87546987.0433566
1980.55,2284.75,1803.94,2154.57,2025-06-17,159852193.3807527
2147.43,2247.44,1812.43,1851.11,2025-06-21,77219460.03383696
1851.3,2065.41,1645.95,1994.15,2025-06-25,82270846.25505386
1994.49,2014.15,1816.63,1922.38,2025-06-29,35006673.84429791
1920.89,2030.9,1826.8,1984.45,2025-07-03,66936651.81358896
1982.07,2000.15,1808.62,1909.81,2025-07-07,46582981.189292625
1910.42,2023.97,1862.69,2017.48,2025-07-11,80187305.1790654
