open,high,low,close,date,volume
0.120697,0.120697,0.03392538,0.04034598,2025-08-04,15173221.448370053
0.04023399,0.04091342,0.02817694,0.03303331,2025-08-08,42526866.54163176
0.03325501,0.03840728,0.0296504,0.03092745,2025-08-12,17611947.3833277
0.03107141,0.03311476,0.02447334,0.02601649,2025-08-16,5455250.757359654
0.02608687,0.02793918,0.02378449,0.02378449,2025-08-20,3480059.1570083397
0.02380611,0.02745775,0.02329869,0.02695176,2025-08-24,3683217.766856301
0.02696724,0.02833449,0.0231241,0.02544524,2025-08-28,4781226.607044978
0.02553766,0.03052498,0.02404992,0.02487211,2025-09-01,3733792.1541661494
0.02481222,0.02520378,0.02226867,0.0231114,2025-09-05,3858639.2011101055
0.02312989,0.03543801,0.02312989,0.03174669,2025-09-09,9673978.749620628
