date,open,high,low,close,volume
2024-09-10,129.87,136.26,127.06,134.88,
2024-09-14,134.89,139.76,128.56,139.22,535234896.14303106
2024-09-18,138.96,139.69,129.21,131.51,302134487.3068228
2024-09-22,131.52,151.87,127.2,149.7,408474627.71059823
2024-09-26,149.34,153.39,141.42,147.9,698174523.2653321
2024-09-30,148.02,161.15,147.06,158.69,690302185.0236746
2024-10-04,158.66,159.31,133.56,136.67,906771538.1765734
2024-10-08,136.73,151.78,136.1,144.36,983728136.0340865
2024-10-12,143.96,146.67,135.51,145.45,785448146.633423
2024-10-16,145.35,158.02,144.63,154.6,1416321749.4465582
2024-10-20,154.8,159.66,148.02,159.6,869710830.6550713
2024-10-24,159.63,173.78,157.79,171.09,1990197522.040433
2024-10-28,170.86,178.89,161.23,176.64,1185720419.5839722
2024-11-01,176.54,182.89,167.57,168.49,1155313157.9964907
2024-11-05,168.26,174.17,155.22,157.39,1146135608.9123526
2024-11-09,157.78,204.83,157.07,200.07,1620823601.701274
2024-11-13,200.05,224.09,195.99,212.46,3140429098.33083
2024-11-17,212.5,222.64,202.17,216.23,2577684119.8294373
2024-11-21,216.2,248.22,212.91,236.59,4629212367.551428
2024-11-25,235.55,263.68,230.54,253.28,2476020607.548252
2024-11-29,253.84,256.47,225.71,238.5,1119253284.3381286
2024-12-03,238.43,246.77,220.37,225.68,2960672447.927789
2024-12-07,225.54,246.35,217.48,237.17,803598869.8928646
2024-12-11,237.01,243.09,204.36,214.13,726240584.8659445
2024-12-15,213.68,234.22,211.76,219.46,1729426290.2029154
2024-12-19,219.67,228.87,204.78,205.29,3205758931.363219
2024-12-23,206.14,211.78,176.92,180.43,1453645849.1808696
2024-12-27,180.07,201.58,176.99,188.3,1580771916.349603
2024-12-31,187.55,197.0,183.03,190.7,2068302841.6314487
2025-01-04,190.63,219.24,187.83,216.97,965740676.1411531
2025-01-08,217.89,222.9,202.37,202.74,2843044272.085997
2025-01-12,202.22,202.91,183.04,187.95,1961592082.130349
2025-01-16,187.99,205.84,174.38,205.84,2526688374.85578
2025-01-20,205.76,290.3,199.17,236.67,20596918509.19578
2025-01-24,236.62,271.04,232.73,253.87,7897845630.512602
2025-01-28,253.7,269.78,222.02,234.94,5190488022.081098
2025-02-01,235.14,243.9,223.67,231.35,2448770413.8699536
2025-02-05,231.63,233.96,180.29,207.19,3933066449.2211385
2025-02-09,207.15,208.44,188.48,199.81,1122193066.837221
2025-02-13,199.54,208.26,190.17,196.48,2242895042.7728896
2025-02-17,196.73,205.02,187.22,188.3,1087144044.6672726
2025-02-21,188.22,189.79,161.58,176.04,1315487075.8487442
2025-02-25,176.38,180.17,140.58,140.77,1306773459.100144
2025-03-01,141.77,148.15,126.03,148.12,1423204796.4004238
2025-03-05,148.22,178.38,132.02,145.08,1743144063.3049207
2025-03-09,144.45,152.65,135.01,137.02,219629981.22130883
2025-03-13,136.85,139.95,113.62,126.51,931248418.7029859
2025-03-17,126.3,136.74,120.73,126.23,157979624.56069967
