open,high,low,close,date,volume
0.999699,1.003,0.996479,0.999782,2024-09-10,
0.999746,1.007,0.989852,1.001,2024-09-14,97889.80436836042
1.002,1.005,0.98231,0.998696,2024-09-18,39927.004787661215
0.995915,1.015,0.976943,1.007,2024-09-22,70470.22334770416
1.005,1.013,0.986638,1.006,2024-09-26,52035.89705027957
1.006,1.015,0.993432,1.001,2024-09-30,28160.100289405695
1.001,1.009,0.973274,0.997167,2024-10-04,100244.61728117142
0.99755,1.014,0.986382,1.0,2024-10-08,123240.74780535241
1.002,1.011,0.984691,0.999447,2024-10-12,306991.27218566847
1.0,1.016,0.994952,0.998305,2024-10-16,1187157.8687381248
0.999293,1.009,0.989695,1.003,2024-10-20,18330.396801939823
1.003,1.015,0.983594,0.997493,2024-10-24,127062.07068620813
0.997061,1.007,0.982226,0.99507,2024-10-28,210467.31585572485
0.995233,1.012,0.988836,0.997757,2024-11-01,102137.38645345929
0.99593,1.006,0.98493,0.996058,2024-11-05,122076.41977282811
0.995812,1.027,0.972767,1.007,2024-11-09,1378472.4228645624
1.007,1.023,0.982156,0.99816,2024-11-13,481773.73440346937
0.993145,1.016,0.978964,0.998624,2024-11-17,172820.26924202137
0.999737,1.018,0.987624,0.999807,2024-11-21,197723.63311374682
0.999434,1.022,0.984917,1.004,2024-11-25,170756.85448769634
1.003,1.015,0.97298,0.99778,2024-11-29,132346.47198129763
1.0,1.011,0.990213,0.999411,2024-12-03,208498.27667997702
1.002,1.022,0.974703,1.004,2024-12-07,199783.79176056868
1.003,1.019,0.977351,0.990313,2024-12-11,234792.28772704554
0.992864,1.015,0.987281,1.003,2024-12-15,72126.94759285287
1.003,1.024,0.976758,0.989361,2024-12-19,166770.85004713928
0.990602,1.023,0.967066,0.998806,2024-12-23,270781.71830606245
0.998553,1.017,0.970606,0.99829,2024-12-27,68010.86676220408
0.998603,1.021,0.98297,0.998255,2024-12-31,148149.28445287526
0.999463,1.013,0.985623,1.004,2025-01-04,117662.64394812859
1.004,1.015,0.980425,0.991946,2025-01-08,131543.25935170954
0.992061,1.028,0.980212,0.99893,2025-01-12,73700.70354264897
0.998674,1.028,0.975721,1.005,2025-01-16,273543.019814744
1.006,1.015,0.958648,0.985156,2025-01-20,427639.90527382016
0.983105,1.033,0.968645,1.001,2025-01-24,224163.04862900754
1.003,1.019,0.988122,1.005,2025-01-28,365384.12430178735
1.007,1.015,0.990224,1.0,2025-02-01,238447.72633830027
1.003,1.067,0.946472,1.005,2025-02-05,704512.4258031182
1.001,1.013,0.987669,0.999536,2025-02-09,175600.26273098652
0.997978,1.013,0.976851,1.001,2025-02-13,413470.44789679884
1.001,1.01,0.992635,0.998394,2025-02-17,112669.82724600578
0.997513,1.013,0.987815,1.001,2025-02-21,146663.14180280705
1.001,1.019,0.986493,0.989513,2025-02-25,387028.0948012475
1.001,1.005,0.965271,0.999506,2025-03-01,28505.987480367963
0.999677,1.008,0.936389,1.0,2025-03-05,10292.119231179904
0.999965,1.0,0.999631,0.999777,2025-03-09,11222.552433082103
0.999777,1.003,0.994797,0.99983,2025-03-13,12044.847831274732
0.99983,1.003,0.997103,0.9999,2025-03-17,11758.835341142883
0.999927,1.77,0.996062,0.999411,2025-03-21,5292977.437507961
0.999407,1.0,0.999115,1.0,2025-03-25,1620196.0767547698
1.0,1.001,0.999225,0.999817,2025-03-29,1950054.7617337373
0.999817,1.0,0.999315,0.999984,2025-04-02,3238017.9461606494
0.999984,1.001,0.999375,0.999806,2025-04-06,263210.43159822474
0.999806,1.0,0.999087,1.0,2025-04-10,2301808.294918344
1.0,1.001,0.999492,1.0,2025-04-14,4174045.328993913
1.0,1.0,0.999771,1.0,2025-04-18,4750215.353282237
1.0,1.0,0.999937,1.0,2025-04-22,8755127.940726787
1.0,1.001,0.999841,1.0,2025-04-26,3764092.1273552016
1.0,1.0,0.999785,1.0,2025-04-30,5698601.4964401685
1.0,1.0,0.999795,0.999929,2025-05-04,6401054.716404184
0.999929,1.0,0.99969,1.0,2025-05-08,5407448.699508349
1.0,1.001,0.998266,1.0,2025-05-12,1523153.183502523
1.0,1.002,0.999182,0.999946,2025-05-16,5572653.263907419
0.999952,1.001,0.99908,1.0,2025-05-20,6789442.8354274295
1.0,1.001,0.998116,1.0,2025-05-24,7886992.774748136
0.999948,1.001,0.999745,1.0,2025-05-28,6809949.774867324
1.0,1.001,0.999141,1.0,2025-06-01,988314.3381390766
0.999999,1.001,0.999459,0.999941,2025-06-05,9820389.67534128
0.999929,1.001,0.999349,1.0,2025-06-09,4455426.235199215
0.999977,1.001,0.998929,1.0,2025-06-13,16963058.46715525
1.0,1.001,0.999576,1.0,2025-06-17,7848610.005410786
1.0,1.0,0.999121,0.999805,2025-06-21,7582603.356373785
0.999814,1.001,0.996026,0.999907,2025-06-25,7026280.462610591
0.999918,1.001,0.999585,0.999876,2025-06-29,3517853.0889162496
0.999878,1.0,0.999755,0.999953,2025-07-03,11072971.483060693
1.0,1.001,0.999744,1.0,2025-07-07,5988546.518648191
1.0,1.001,0.999327,1.0,2025-07-11,12920146.458583884
0.999948,1.001,0.999739,1.0,2025-07-15,9388181.428547667
1.0,1.002,0.999425,1.0,2025-07-19,15128963.907865131
1.0,1.006,0.996583,1.0,2025-07-23,16600818.352820484
1.0,1.007,0.994556,1.001,2025-07-27,12213680.84208459
1.001,1.002,0.997069,0.999952,2025-07-31,12592291.000187933
1.001,1.007,0.994941,1.0,2025-08-04,6700708.613728762
1.0,1.002,0.997465,1.0,2025-08-08,20476889.754638173
0.99998,1.003,0.998135,1.0,2025-08-12,12122575.177588785
1.0,1.001,0.999609,0.999935,2025-08-16,7128346.504298517
1.0,1.001,0.99907,1.001,2025-08-20,16356965.47300263
0.99995,1.002,0.996345,0.99982,2025-08-24,9391476.88125874
0.999821,1.001,0.999419,1.0,2025-08-28,20026690.050744947
0.999844,1.002,0.998393,0.999849,2025-09-01,10400537.818884583
0.99985,1.001,0.9989,0.999385,2025-09-05,14065388.590493686
0.999543,1.001,0.998704,0.999677,2025-09-09,16233059.843820853
